actor_grad_norm,actor_loss,batch_in_epoch,batch_size,critic_grad_norm,critic_loss,critic_loss_unweighted,epoch,local_step,q1,reference_deviation_abs_max,reference_deviation_abs_mean,reference_deviation_penalty,reference_deviation_penalty_coef,reference_deviation_penalty_w,rl_loss,rl_loss_w,step,target_q_clip
,,151.0,256.0,,2.202433,2.202433,0.0,151.0,0.53967,,,,,,,,151.0,0.277344
0.049527,-0.228569,152.0,256.0,44.284725,2.493093,2.493093,0.0,152.0,,1.604555,0.12028,0.024872,10.0,0.248722,-0.477291,-0.477291,152.0,
,,153.0,256.0,,2.55977,2.55977,0.0,153.0,0.496469,,,,,,,,153.0,0.292969
0.056122,-0.121089,154.0,256.0,19.059849,2.362885,2.362885,0.0,154.0,,6.205472,0.126171,0.033939,10.0,0.339387,-0.460476,-0.460476,154.0,
,,155.0,256.0,,2.436086,2.436086,0.0,155.0,0.532676,,,,,,,,155.0,0.289062
0.03205,-0.190027,156.0,256.0,21.289528,2.448203,2.448203,0.0,156.0,,2.141754,0.125229,0.028471,10.0,0.284706,-0.474733,-0.474733,156.0,
,,157.0,256.0,,2.231222,2.231222,0.0,157.0,0.578167,,,,,,,,157.0,0.351562
0.050732,-0.337194,158.0,256.0,19.807499,2.243842,2.243842,0.0,158.0,,1.644193,0.110327,0.019254,10.0,0.192544,-0.529737,-0.529737,158.0,
,,159.0,256.0,,2.280212,2.280212,0.0,159.0,0.518928,,,,,,,,159.0,0.3125
0.039167,-0.34059,160.0,256.0,17.844118,2.533034,2.533034,0.0,160.0,,2.222587,0.112379,0.019709,10.0,0.197085,-0.537675,-0.537675,160.0,
,,161.0,256.0,,2.125071,2.125071,0.0,161.0,0.518599,,,,,,,,161.0,0.300781
0.048291,-0.229379,162.0,256.0,22.087046,2.175716,2.175716,0.0,162.0,,1.620907,0.123642,0.027016,10.0,0.27016,-0.499539,-0.499539,162.0,
,,163.0,256.0,,2.364909,2.364909,0.0,163.0,0.513671,,,,,,,,163.0,0.296875
0.044002,-0.179561,164.0,256.0,13.900229,2.184086,2.184086,0.0,164.0,,3.8063,0.123812,0.032819,10.0,0.328191,-0.507753,-0.507753,164.0,
,,165.0,256.0,,2.11105,2.11105,0.0,165.0,0.551772,,,,,,,,165.0,0.335938
0.037629,-0.208529,166.0,256.0,16.841017,2.240299,2.240299,0.0,166.0,,1.733984,0.122585,0.026022,10.0,0.26022,-0.468749,-0.468749,166.0,
,,167.0,256.0,,2.181835,2.181835,0.0,167.0,0.552877,,,,,,,,167.0,0.324219
0.033161,-0.220737,168.0,256.0,26.331339,2.098865,2.098865,0.0,168.0,,1.623029,0.117401,0.02365,10.0,0.236498,-0.457234,-0.457234,168.0,
,,169.0,256.0,,2.117271,2.117271,0.0,169.0,0.480208,,,,,,,,169.0,0.304688
0.056199,-0.272394,170.0,256.0,22.340469,1.993019,1.993019,0.0,170.0,,1.569351,0.120142,0.025337,10.0,0.253375,-0.525768,-0.525768,170.0,
,,171.0,256.0,,2.209363,2.209363,0.0,171.0,0.530999,,,,,,,,171.0,0.320312
0.033493,-0.185366,172.0,256.0,12.083913,2.188666,2.188666,0.0,172.0,,2.174366,0.125471,0.029702,10.0,0.297025,-0.482391,-0.482391,172.0,
,,173.0,256.0,,2.097399,2.097399,0.0,173.0,0.539289,,,,,,,,173.0,0.34375
0.035885,-0.20459,174.0,256.0,12.723836,2.210682,2.210682,0.0,174.0,,1.773435,0.122071,0.026823,10.0,0.268234,-0.472824,-0.472824,174.0,
,,175.0,256.0,,2.233633,2.233633,0.0,175.0,0.535957,,,,,,,,175.0,0.28125
0.02762,-0.229165,176.0,256.0,15.785748,2.335585,2.335585,0.0,176.0,,2.400086,0.121544,0.026522,10.0,0.265219,-0.494384,-0.494384,176.0,
,,177.0,256.0,,2.550742,2.550742,0.0,177.0,0.492472,,,,,,,,177.0,0.269531
0.049778,-0.282816,178.0,256.0,11.720923,1.930598,1.930598,0.0,178.0,,1.988261,0.116672,0.023556,10.0,0.235558,-0.518374,-0.518374,178.0,
,,179.0,256.0,,2.059742,2.059742,0.0,179.0,0.457758,,,,,,,,179.0,0.261719
0.056416,-0.185746,180.0,256.0,9.779268,1.968539,1.968539,0.0,180.0,,5.529017,0.121091,0.033679,10.0,0.336786,-0.522532,-0.522532,180.0,
,,181.0,256.0,,2.055162,2.055162,0.0,181.0,0.497068,,,,,,,,181.0,0.273438
0.038394,-0.188226,182.0,256.0,12.338778,2.042911,2.042911,0.0,182.0,,4.68412,0.122722,0.032216,10.0,0.32216,-0.510386,-0.510386,182.0,
,,183.0,256.0,,2.317572,2.317572,0.0,183.0,0.54035,,,,,,,,183.0,0.296875
0.037174,-0.113648,184.0,256.0,13.701736,2.118768,2.118768,0.0,184.0,,5.512082,0.125517,0.037894,10.0,0.378939,-0.492587,-0.492587,184.0,
,,185.0,256.0,,1.872324,1.872324,0.0,185.0,0.545716,,,,,,,,185.0,0.308594
0.058242,-0.204589,186.0,256.0,14.790129,1.963221,1.963221,0.0,186.0,,1.736859,0.120098,0.024652,10.0,0.246521,-0.451111,-0.451111,186.0,
,,187.0,256.0,,2.071111,2.071111,0.0,187.0,0.513435,,,,,,,,187.0,0.316406
0.033946,-0.24653,188.0,256.0,16.616695,2.304771,2.304771,0.0,188.0,,1.534963,0.12032,0.024949,10.0,0.249493,-0.496024,-0.496024,188.0,
,,189.0,256.0,,2.070402,2.070402,0.0,189.0,0.57357,,,,,,,,189.0,0.328125
0.062192,-0.231777,190.0,256.0,9.426332,2.007083,2.007083,0.0,190.0,,1.811934,0.118735,0.023768,10.0,0.237683,-0.46946,-0.46946,190.0,
,,191.0,256.0,,2.055339,2.055339,0.0,191.0,0.519799,,,,,,,,191.0,0.332031
0.043019,-0.293012,192.0,256.0,7.556049,1.949817,1.949817,0.0,192.0,,1.54024,0.119553,0.024314,10.0,0.243135,-0.536147,-0.536147,192.0,
,,193.0,256.0,,1.865001,1.865001,0.0,193.0,0.545023,,,,,,,,193.0,0.308594
0.042611,-0.202436,194.0,256.0,7.588351,2.034882,2.034882,0.0,194.0,,4.711593,0.122242,0.03124,10.0,0.312399,-0.514835,-0.514835,194.0,
,,195.0,256.0,,2.11459,2.11459,0.0,195.0,0.545934,,,,,,,,195.0,0.34375
0.046595,-0.024879,196.0,256.0,11.030938,2.058615,2.058615,0.0,196.0,,7.792944,0.124178,0.044999,10.0,0.449989,-0.474868,-0.474868,196.0,
